iter	Logloss
0	0.6864690941
5	0.6610289189
10	0.6423771852
15	0.6298401097
20	0.6204648482
25	0.6135080854
30	0.6070444592
35	0.6014544357
40	0.5967628522
45	0.5927379556
50	0.589147557
55	0.585877492
60	0.5829870213
65	0.5803241331
70	0.577996767
75	0.5758625597
80	0.5742338143
85	0.5726226853
90	0.5709198014
95	0.5695768412
100	0.5679802785
105	0.5666979489
110	0.5654274465
115	0.5642536792
120	0.5629498736
125	0.5618136424
130	0.5607113369
135	0.5596832945
140	0.5587271496
145	0.5577485329
150	0.5567476311
155	0.5561125666
160	0.555113968
165	0.5542213171
170	0.5534655519
175	0.5527096621
180	0.5519987162
185	0.5511978204
190	0.5505382299
195	0.5499272558
200	0.5493157215
205	0.5487377394
210	0.5481212875
215	0.5475373917
220	0.5468067128
225	0.5462037067
230	0.5453279253
235	0.5448489814
240	0.5444067644
245	0.5439384651
250	0.5432799951
255	0.542845746
260	0.5423441434
265	0.5419117618
270	0.5414377978
275	0.5409874884
280	0.5405117192
285	0.5399741368
290	0.5393503394
295	0.5388783052
300	0.5385256023
305	0.53802456
310	0.5375199072
315	0.5371111802
320	0.5366415737
325	0.5362174089
330	0.5358569871
335	0.5354365573
340	0.5350303202
345	0.5346689647
350	0.5342490951
355	0.5337957978
360	0.5334329484
365	0.5331025306
370	0.5326518477
375	0.5323318878
380	0.5319485584
385	0.5315439398
390	0.5312254116
395	0.5308902007
400	0.530509299
405	0.5301640037
410	0.5298579253
415	0.5294927104
420	0.5291454232
425	0.5288279532
430	0.5284548949
435	0.5280782261
440	0.5277150654
445	0.5273998986
450	0.5271017258
455	0.5268020591
460	0.5264258883
465	0.526081589
470	0.5257814865
475	0.525532615
480	0.5252434683
485	0.5249349622
490	0.5246249622
495	0.5242917432
500	0.524004215
505	0.5237054197
510	0.5233474879
515	0.5230844236
520	0.5228023111
525	0.5224769355
530	0.5221705459
535	0.5218824574
540	0.5215254905
545	0.5212238629
550	0.5209147032
555	0.5205757884
560	0.5203252361
565	0.5200615182
570	0.5198188093
575	0.5195515743
580	0.5192769005
585	0.5190006083
590	0.5187225731
595	0.5184517899
600	0.518169335
605	0.5179045588
610	0.5176730859
615	0.5173467765
620	0.5171204391
625	0.5168483487
630	0.5166081298
635	0.5163227492
640	0.5160680573
645	0.5157965894
650	0.5155492741
655	0.5152966676
660	0.5150678713
665	0.5148054295
670	0.5145724003
675	0.5143451603
680	0.5141013932
685	0.513814114
690	0.5135412454
695	0.5132900396
700	0.5130330756
705	0.5127864762
710	0.5125360484
715	0.5123228767
720	0.5121062501
725	0.5118020703
730	0.5115433634
735	0.5113123262
740	0.5110380571
745	0.5108045299
750	0.5105731814
755	0.5102927496
760	0.5100617747
765	0.5098248549
770	0.5096070145
775	0.5093987293
780	0.5091757845
785	0.5089394872
790	0.5086945374
795	0.5084494941
800	0.5081960784
805	0.507948732
810	0.5077351245
815	0.507496026
820	0.5072502047
825	0.5070205058
830	0.5067871343
835	0.5065567196
840	0.506349586
845	0.5061404293
850	0.5059436602
855	0.505701885
860	0.5054849161
865	0.5052927845
870	0.5051018668
875	0.5048519681
880	0.5046616418
885	0.5044225122
890	0.5041755081
895	0.504008494
900	0.5037845843
905	0.5035872549
910	0.5033293262
915	0.5031326193
920	0.5028873582
925	0.5026780147
930	0.5024450789
935	0.5022355176
940	0.5020511983
945	0.501842633
950	0.5016374914
955	0.5014228257
960	0.5012286399
965	0.5010368507
970	0.5008128165
975	0.5006144289
980	0.5004036848
985	0.5001856266
990	0.4999535934
995	0.4997276294
1000	0.4995336927
1005	0.4993216103
1010	0.4991065088
1015	0.4989279786
1020	0.4987300579
1025	0.4985388601
1030	0.4983498409
1035	0.4981442325
1040	0.4979225015
1045	0.4977202856
1050	0.4975333207
1055	0.4973711309
1060	0.4971748286
1065	0.496988455
1070	0.496794456
1075	0.4966138094
1080	0.4963843906
1085	0.4961804317
1090	0.4959621556
1095	0.4957323011
1100	0.4954884717
1105	0.4952884345
1110	0.495080056
1115	0.4948474003
1120	0.4946259494
1125	0.4944205899
1130	0.4942453278
1135	0.4940336189
1140	0.4938402735
1145	0.4936537444
1150	0.4934415686
1155	0.4932597392
1160	0.4930647131
1165	0.4928513857
1170	0.4926642341
1175	0.4924770202
1180	0.4922788193
1185	0.4920939086
1190	0.4919356405
1195	0.4917564878
1200	0.4915712659
1205	0.4913674315
1210	0.4911466343
1215	0.4909179625
1220	0.4906777436
1225	0.4904745939
1230	0.4902824935
1235	0.4900645908
1240	0.4898744823
1245	0.4896924662
1250	0.4894728517
1255	0.4892963758
1260	0.4890586779
1265	0.4888511086
1270	0.4886734499
1275	0.4885157732
1280	0.4883406356
1285	0.4881785703
1290	0.4879917298
1295	0.487813791
1300	0.4876033271
1305	0.4874294345
1310	0.4872439013
1315	0.4870631302
1320	0.486869598
1325	0.4866879554
1330	0.4864796391
1335	0.4863234563
1340	0.4861286169
1345	0.4859501179
1350	0.4857365104
1355	0.4855660415
1360	0.4853910595
1365	0.4852070825
1370	0.485041967
1375	0.4848691638
1380	0.4847110513
1385	0.484502486
1390	0.4843369347
1395	0.4841250391
1400	0.4839340902
1405	0.4837469075
1410	0.483556052
1415	0.4833621775
1420	0.4831794455
1425	0.483011031431430	0.482788701431435	0.482609741441440	0.482416671441445	0.482197491451450	0.482000261455	0.4823296531
1460	0.4821497534
1465	0.4819603608
1471470	0.48132520141475	0.481169580141480	0.481001165141485	0.480818496141490	0.48064423
1495	0.4804552108
1499	0.4807220101
