iter	Passed	Remaining
0	5	8967
1	10	8208
2	15	7943
3	20	7814
4	25	7733
5	31	7777
6	36	7705
7	40	7619
8	45	7583
9	50	7554
10	56	7582
11	60	7562
12	66	7574
13	71	7556
14	76	7535
15	81	7558
16	92	8064
17	97	8028
18	102	8005
19	107	7967
20	113	7967
21	118	7936
22	123	7911
23	128	7887
24	133	7872
25	138	7871
26	143	7851
27	148	7827
28	154	7817
29	159	7797
30	164	7794
31	169	7778
32	174	7765
33	179	7750
34	184	7736
35	190	7731
36	195	7716
37	200	7702
38	205	7687
39	210	7676
40	215	7676
41	220	7668
42	225	7652
43	230	7639
44	235	7629
45	241	7626
46	246	7612
47	251	7599
48	256	7581
49	261	7569
50	266	7565
51	271	7553
52	276	7540
53	281	7526
54	285	7513
55	291	7509
56	296	7496
57	301	7486
58	306	7473
59	310	7462
60	316	7458
61	321	7445
62	326	7436
63	330	7425
64	335	7414
65	341	7415
66	370	7934
67	375	7917
68	380	7898
69	385	7881
70	408	8217
71	413	8197
72	418	8177
73	423	8158
74	428	8138
75	433	8123
76	438	8104
77	443	8086
78	448	8070
79	453	8055
80	459	8043
81	464	8025
82	469	8010
83	474	7994
84	479	7978
85	484	7964
86	489	7945
87	494	7931
88	499	7916
89	504	7899
90	509	7888
91	514	7877
92	519	7862
93	524	7848
94	529	7833
95	535	7825
96	540	7812
97	545	7797
98	550	7784
99	555	7771
100	560	7761
101	565	7750
102	570	7736
103	575	7723
104	580	7708
105	585	7700
106	590	7687
107	595	7674
108	600	7660
109	605	7646
110	610	7636
111	615	7624
112	620	7610
113	624	7596
114	629	7585
115	635	7577
116	640	7567
117	645	7555
118	649	7542
119	654	7532
120	660	7525
121	665	7515
122	670	7504
123	675	7494
124	680	7483
125	685	7479
126	690	7468
127	695	7455
128	700	7445
129	708	7465
130	713	7459
131	718	7449
132	723	7439
133	728	7425
134	733	7415
135	738	7409
136	743	7399
137	748	7389
138	753	7381
139	758	7371
140	764	7365
141	768	7353
142	773	7343
143	778	7335
144	783	7325
145	789	7318
146	794	7308
147	798	7298
148	803	7286
149	808	7275
150	813	7270
151	818	7261
152	823	7250
153	828	7240
154	833	7231
155	869	7489
156	874	7478
157	879	7467
